ID,Inlet 1,Inlet 2,Inlet 3,Outlet,Rainwater,Slope,Capacity
210,,,,212,0.086,12.2,0.151
211,,,,,0.012,5.3,0.100
212,210,211,,,0.098,7.1,0.115
213,212,,,,0.116,6.7,0.158
224,,,,,0.058,5.5,0.102
4,,,,5,0.174,96.3,0.212
1,,,,3,1.151,23.2,3.652
2,,,,,0.031,16.6,0.088
3,1,2,,,1.228,17.5,3.172
901,3,,,,1.272,40.7,30.433
5,4,901,,15,1.446,51.8,37.957
6,,,,8,0.047,71.3,0.159
7,,,,,0.077,70.5,0.158
8,6,7,,10,0.147,56.3,0.229
9,,,,,0.033,17.5,0.079
10,8,9,,12,0.186,36.0,0.395
11,,,,,0.958,17.4,1.222
12,10,11,,14,1.187,18.8,1.270
13,,,,,0.026,67.7,0.155
14,12,13,,,1.218,35.1,1.735
15,5,14,,,2.757,51.8,37.957
17,15,,,26,2.877,16.4,12.898
18,,,,,0.008,7.5,0.068
19,18,,,25,0.249,45.4,0.945
20,,,,24,0.193,352.1,0.463
21,,,,23,0.041,125.0,0.241
22,,,,,0.032,26.3,0.222
23,21,22,,,0.074,136.3,0.505
24,20,23,,,0.275,131.5,0.993
25,19,24,,,0.521,142.6,1.221
26,17,25,,28,3.423,13.3,18.159
27,,,,,0.182,27.0,0.225
28,26,27,,30,3.626,13.3,18.159
29,,,,,0.081,58.2,0.330
30,28,29,,44,3.718,13.3,18.159
32,,,,,0.023,89.2,0.110
33,32,,,,0.176,177.4,1.726
35,33,,,,0.502,152.7,1.601
36,35,,,,0.779,77.5,2.474
37,36,,,38,0.806,85.1,9.738
41,,,,906,0.260,75.7,0.328
42,,,,,0.137,106.6,0.255
906,41,42,,,0.396,82.0,0.552
38,37,906,,40,1.269,42.3,6.866
39,,,,,0.063,30.2,0.136
40,38,39,,44,1.349,48.4,7.344
43,,,,,0.093,44.6,0.289
44,30,40,43,,5.136,10.0,18.862
45,44,,,54,5.240,10.0,18.862
46,,,,,0.167,70.8,0.181
47,46,,,52,0.251,96.2,0.425
48,,,,51,0.125,50.0,0.306
49,,,,51,0.047,191.2,0.341
50,,,,,0.145,102.0,0.218
51,48,49,50,,0.361,66.0,0.703
52,47,51,,54,0.900,43.6,1.856
53,,,,,0.117,50.3,0.153
54,45,52,53,,6.215,4.7,6.071
55,54,,,58,6.197,9.3,20.674
56,,,,,0.278,31.4,0.342
57,56,,,,0.305,26.9,0.364
58,55,57,,,6.516,9.3,20.674
59,58,,,69,6.499,14.8,36.396
60,,,,,0.112,11.1,0.125
61,60,,,68,0.135,39.5,1.767
62,,,,64,0.067,8.5,0.126
63,,,,,0.034,58.1,0.188
64,62,63,,66,0.111,7.6,0.119
65,,,,,0.083,53.2,0.157
66,64,65,,68,0.199,30.3,0.238
67,,,,,0.028,88.0,0.202
68,61,66,67,,0.360,51.8,2.023
69,59,68,,88,6.837,14.8,36.396
70,,,,,0.182,126.0,0.486
71,70,,,73,0.234,177.7,0.577
72,,,,,0.241,32.9,0.350
73,71,72,,75,0.542,52.8,0.820
74,,,,,0.080,46.2,0.168
75,73,74,,78,0.731,15.4,0.962
76,,,,,0.407,86.0,0.458
77,76,,,,0.481,27.8,0.595
78,75,77,,80,1.258,27.7,1.290
79,,,,,0.066,5.0,0.107
80,78,79,,84,1.353,31.5,1.376
81,,,,83,0.088,20.1,0.581
82,,,,,0.232,26.0,0.358
83,81,82,,,0.357,40.2,1.782
84,80,83,,87,1.810,10.0,1.809
86,,,,,0.068,7.9,0.122
87,84,86,,,1.882,47.0,6.946
88,69,87,,92,8.598,11.0,15.104
89,,,,91,0.093,38.2,0.266
90,,,,,0.035,21.4,0.114
91,89,90,,92,0.136,34.7,0.763
154,,,,907,0.406,33.4,0.652
155,,,,,0.026,12.3,0.152
907,154,155,,,0.449,17.3,0.584
92,88,91,907,99,9.136,9.2,9.384
902,,,,,0.224,26.1,0.358
93,902,,,95,0.245,16.9,0.533
94,,,,,0.047,14.0,0.092
95,93,94,,97,0.304,22.8,0.619
96,,,,,0.067,40.9,0.138
97,95,96,,99,0.378,34.3,0.759
98,,,,,0.016,26.4,0.127
99,92,97,98,167,9.442,8.6,10.043
108,,,,112,0.175,13.5,0.476
100,,,,102,0.269,74.2,1.116
101,,,,,0.210,11.4,0.381
102,100,101,,104,0.479,22.8,0.619
103,,,,,0.077,15.3,0.274
104,102,103,,106,0.561,20.0,0.579
105,,,,,0.138,14.5,0.493
106,104,105,,,0.780,15.4,0.962
107,106,,,903,0.789,20.9,1.025
109,,,,111,0.178,34.6,0.222
110,,,,,0.006,13.3,0.157
111,109,110,,,0.245,24.8,0.375
903,107,111,,,1.033,11.0,1.626
112,108,903,,,1.526,48.7,5.987
113,112,,,118,1.616,49.7,6.048
114,,,,,0.086,28.3,0.373
115,114,,,117,0.120,63.9,0.561
116,,,,,0.160,26.0,0.221
117,115,116,,,0.285,17.2,0.291
118,113,117,,,1.904,13.2,4.140
120,118,,,,1.954,13.2,4.140
122,120,,,124,2.047,9.7,3.735
123,,,,,0.063,5.1,0.250
124,122,123,,,2.110,21.6,3.524
125,124,,,144,2.112,15.4,2.369
126,,,,128,0.072,58.1,0.330
127,,,,,0.298,81.0,0.390
128,126,127,,,0.401,63.2,0.485
130,128,,,132,0.461,35.6,0.674
131,,,,,0.166,38.0,0.232
132,130,131,,,0.634,12.5,0.867
134,132,,,136,0.857,4.5,1.202
135,,,,,0.282,92.4,0.475
136,134,135,,,1.139,4.5,1.214
138,136,,,142,1.186,4.5,1.214
139,,,,141,0.154,144.0,0.259
140,,,,,0.037,7.1,0.066
141,139,140,,,0.213,30.3,0.336
142,138,141,,,1.416,4.5,1.662
143,142,,,,1.418,4.5,1.662
144,125,143,,,3.508,15.2,4.442
145,144,,,,3.644,8.1,3.211
146,145,,,,3.680,16.4,5.106
147,146,,,151,3.683,15.9,5.115
148,,,,,0.313,86.4,0.350
149,148,,,151,0.625,13.5,0.967
150,,,,,0.082,16.7,0.287
151,147,149,150,153,4.428,15.9,5.115
152,,,,,0.078,14.8,0.095
153,151,152,,167,4.496,15.9,5.115
156,,,,158,0.008,3.8,0.084
157,,,,,0.061,30.2,0.136
158,156,157,,160,0.102,21.7,0.202
159,,,,,0.100,11.6,0.147
160,158,159,,162,0.234,17.1,0.358
161,,,,,0.074,41.4,0.139
162,160,161,,166,0.316,12.4,0.430
163,,,,165,0.042,15.1,0.084
164,,,,,0.018,11.2,0.427
165,163,164,,,0.095,15.0,0.494
166,162,165,,,0.421,3.5,1.070
167,99,153,166,169,14.261,-3.1,0.000
168,,,,,0.100,5.8,0.210
169,167,168,,172,14.356,-5.0,0.000
170,,,,172,0.070,5.5,0.158
171,,,,,0.075,11.7,0.230
172,169,170,171,175,14.335,5.0,10.576
173,,,,175,0.045,12.1,0.172
177,,,,,0.083,16.7,0.287
179,177,,,,0.167,17.9,0.297
181,179,,,183,0.274,4.0,0.490
182,,,,,0.117,5.9,0.148
183,181,182,,185,0.391,4.0,0.490
184,,,,,0.063,2.0,0.086
185,183,184,,174,0.491,3.5,0.492
905,,,,,0.120,11.1,0.288
186,905,,,,0.260,19.4,0.381
174,185,186,,,0.751,5.9,0.967
175,172,173,174,193,14.979,5.0,11.951
187,,,,191,0.089,3.5,0.750
188,,,,,0.041,1.7,0.056
190,188,,,,0.130,6.9,0.160
191,187,190,,193,0.230,27.4,1.016
192,,,,,0.053,31.7,0.139
193,175,191,192,195,15.160,4.9,18.470
194,,,,,0.045,33.0,0.124
195,193,194,,200,15.081,4.9,18.470
196,,,,198,0.275,23.6,0.421
197,,,,,0.019,2.0,0.122
198,196,197,,200,0.296,58.6,0.914
199,,,,,0.039,39.1,0.135
200,195,198,199,202,15.262,4.9,18.470
201,,,,,0.012,79.3,0.386
202,200,201,,206,15.156,6.3,9.798
203,,,,,0.074,6.8,0.226
204,203,,,206,0.092,6.5,0.110
205,,,,,0.039,27.4,0.129
206,202,204,205,208,15.153,5.0,29.563
207,,,,,0.129,38.9,0.270
208,206,207,,,15.235,5.1,29.857
209,208,,,218,15.227,13.8,33.802
215,,,,,0.018,5.3,0.100
216,215,,,218,0.043,2.5,0.111
217,,,,,0.059,15.6,0.171
218,209,216,217,221,15.307,19.8,40.489
219,,,,221,0.021,8.5,0.126
220,,,,,0.006,13.6,0.298
221,218,219,220,223,15.240,5.1,20.549
222,,,,,0.018,8.5,0.126
223,221,222,,228,15.239,14.9,35.124
225,,,,227,0.049,9.2,0.131
226,,,,,0.082,10.2,0.120
227,225,226,,,0.148,11.0,0.202
228,223,227,,,15.373,21.5,42.191
